"id","name","slug","status","exempt","requires_proxy","jurisdiction","parent","appeal_agency"
11004,"Superior Court of California, County of Alameda",alameda-county-superior-court,approved,False,False,174,,
10575,Junction City Police Department,junction-city-police-department,approved,False,False,4665,,
548,Middle Tennessee State University,middle-tennessee-state-university,approved,False,True,155,,
15222,South Carolina State University,south-carolina-state-university,approved,False,True,302,,
23477,State Attorney's Office,state-attorneys-office,approved,False,False,103,,
7550,Office of Neighborhood Involvment - Noise Control Program,noise-control-office,approved,False,False,166,,
23476,Benton County Sheriff,benton-county-sheriff,approved,False,False,19830,,
11141,Clermont County Information Systems Department,clermont-county-information-systems-department,approved,False,False,25142,,
3551,Department of Health and Environmental Control,department-of-health-and-environmental-control,approved,False,False,302,,
3079,University of Virginia,university-of-virginia,approved,False,True,128,,
10019,"Department of Health, Maternal and Child Health division",department-of-health,approved,False,False,156,,
23482,Planning & Services,planning-services,approved,False,False,286,,
2665,"Army, Office of the Chief Information Officer",army-office-chief-information-officer,approved,False,False,10,,
18644,Office Of Inspector General,office-of-inspector-general,approved,False,False,358,,
23483,Building Services,building-services,approved,False,False,18045,,
23484,Neighborhood & Economic Operations,neighborhood-economic-operations,approved,False,False,16951,,
23498,Nevada County Public Health Department,nevada-county-public-health-department,approved,False,False,9629,,
23475,Fairfield Police Department,fairfield-police-department,approved,False,False,25292,,
23506,Midfield City Clerk,city-of-midfield,approved,False,True,808,,
23564,Fayette County Juvenile Probation,fayette-county-juvenile-probation,approved,False,False,27281,,
21045,Oklahoma State Department Of Health,oklahoma-state-department-of-health,approved,False,False,248,,
776,Hennepin County Sheriff,hennepin-county-sheriff,approved,False,False,383,,
4834,Public Utilities Commission,public-utilities-commission,approved,False,False,141,,
11493,Shelby County Sheriff,shelby-county-sheriff,approved,False,True,8832,,
23480,Ypsilanti Building Department,ypsilanti-building-department,approved,False,False,118,,
23489,Jacksonville Police Department,jacksonville-police-department,approved,False,False,2888,,
