"id","name","slug","abbrev","level","parent"
1,Massachusetts,massachusetts,MA,s,10
2,Amherst,amherst,,l,1
3,Boston,boston,,l,1
4,Brookline,brookline,,l,1
5,Cambridge,cambridge,,l,1
6,Groton,groton,,l,1
7,Milford,milford,,l,1
8,Somerville,somerville,,l,1
9,Worcester,worcester,,l,1
10,United States of America,united-states-of-america,USA,f,
11,Suffolk County,suffolk-county,,l,1
12,Worcester County,worcester-county,,l,1
13,Maine,maine,ME,s,10
14,Essex County,essex-county,,l,1
15,Saugus,saugus,,l,1
16,New York,new-york,NY,s,10
17,New York City,new-york-city,,l,16
18,Newton,newton,,l,1
19,Barnstable County,barnstable-county,,l,1
20,Kingston,kingston,,l,16
21,Woodstock,woodstock,,l,16
22,Shandaken,shandaken,,l,16
23,Olive,olive,,l,16
24,Ulster County,ulster-county,,l,16
25,Delhi,delhi,,l,16
26,Middletown,middletown,,l,16
27,Sidney,sidney,,l,16
28,Delaware County,delaware-county,,l,16
29,Sullivan County,sullivan-county,,l,16
30,Schoharie County,schoharie-county,,l,16
31,Greene County,greene-county,,l,16
32,Ithaca,ithaca,,l,16
33,Tompkins County,tompkins-county,,l,16
34,Florida,florida,FL,s,10
35,Collier County,collier-county,,l,34
36,Lee County,lee-county,,l,34
37,Naples,naples,,l,34
38,Fort Myers,fort-myers,,l,34
39,Bonita Springs,bonita-springs,,l,34
40,Marco Island,marco-island,,l,34
41,Immokalee,immokalee,,l,34
42,Cape Coral,cape-coral,,l,34
43,Sanibel,sanibel,,l,34
44,Captiva,captiva,,l,34
45,Watertown,watertown,,l,1
47,District of Columbia,district-of-columbia,DC,s,10
48,Washington,washington,,l,47
51,Milton,milton,,l,1
52,California,california,CA,s,10
53,Connecticut,connecticut,CT,s,10
54,Washington,washington,WA,s,10
55,San Diego County,san-diego-county,,l,52
56,San Diego,san-diego,,l,52
57,El Cajon,el-cajon,,l,52
58,Chula Vista,chula-vista,,l,52
59,Escondido,escondido,,l,52
60,Carlsbad,carlsbad,,l,52
61,Oceanside,oceanside,,l,52
62,La Mesa,la-mesa,,l,52
63,Vista,vista,,l,52
64,Poway,poway,,l,52
65,Santee,santee,,l,52
66,Alpine,alpine,,l,52
67,Kent,kent,,l,54
68,Olympia,olympia,,l,54
69,Seattle,seattle,,l,54
70,Shoreline,shoreline,,l,54
71,Spokane,spokane,,l,54
72,Tacoma,tacoma,,l,54
73,King County,king-county,,l,54
74,Pierce County,pierce-county,,l,54
75,Snohomish County,snohomish-county,,l,54
76,Spokane County,spokane-county,,l,54
77,Dedham,dedham,,l,1
78,Arizona,arizona,AZ,s,10
79,Piedmont,piedmont,,l,52
80,Vermont,vermont,VT,s,10
81,New Hampshire,new-hampshire,NH,s,10
82,Rhode Island,rhode-island,RI,s,10
83,Sterling,sterling,,l,1
84,Wellesley,wellesley,,l,1
85,Belmont,belmont,,l,1
86,Franklin,franklin,,l,1
87,Lynn,lynn,,l,1
88,Salem,salem,,l,1
89,Bullhead City,bullhead-city,,l,78
90,Norwalk,norwalk,,l,53
91,Los Angeles,los-angeles,,l,52
92,Walpole,walpole,,l,1
93,Cohasset,cohasset,,l,1
94,Phoenix,phoenix,,l,78
95,Benson,benson,,l,78
96,Oakland,oakland,,l,52
97,Hartford,hartford,,l,53
99,New Haven,new-haven,,l,53
100,Bridgeport,bridgeport,,l,53
101,Danbury,danbury,,l,53
102,New London,new-london,,l,53
103,Miami,miami,,l,34
104,Fort Lauderdale,fort-lauderdale,,l,34
105,Framingham,framingham,,l,1
106,Providence,providence,,l,82
107,Santa Monica,santa-monica,,l,52
108,Santa Barbara,santa-barbara,,l,52
109,Texas,texas,TX,s,10
110,Arlington,arlington,,l,109
111,Kansas,kansas,KS,s,10
112,Herington,herington,,l,111
113,Houston,houston,,l,109
114,Arkansas,arkansas,AR,s,10
115,North Little Rock,north-little-rock,,l,114
116,Ohio,ohio,OH,s,10
117,Michigan,michigan,MI,s,10
118,Ypsilanti,ypsilanti,,l,117
119,Santa Clarita,santa-clarita,,l,52
120,Ventura County,ventura-county,,l,52
121,Wichita,wichita,,l,111
122,Manchester Center,manchester-center,,l,80
123,Orlando,orlando,,l,34
124,Oxnard,oxnard,,l,52
125,Palm Coast,palm-coast,,l,34
126,Pennsylvania,pennsylvania,PA,s,10
127,Colorado,colorado,CO,s,10
128,Virginia,virginia,VA,s,10
129,Arvada,arvada,,l,127
130,Pittsburgh,pittsburgh,,l,126
131,Carnegie,carnegie,,l,126
132,South Fayette Township,south-fayette-township,,l,126
133,Bridgeville,bridgeville,,l,126
134,Virginia Beach,virginia-beach,,l,128
135,Heidelberg,heidelberg,,l,126
136,Flagler County,flagler-county,,l,34
137,Bunnell,bunnell,,l,34
138,Fairfax County,fairfax-county,,l,128
139,Austin,austin,,l,109
140,Tucson,tucson,,l,78
141,San Francisco,san-francisco,,l,52
143,Doylestown,doylestown,,l,126
144,Stafford County,stafford-county,,l,128
145,Denver,denver,,l,127
146,Wisconsin,wisconsin,WI,s,10
147,Kentucky,kentucky,KY,s,10
148,Jefferson,jefferson,,l,146
149,Ashland,ashland,,l,147
150,Washington Court House,washington-court-house,,l,116
151,Richmond,richmond,,l,128
152,Indiana,indiana,IN,s,10
153,North Carolina,north-carolina,NC,s,10
154,Maryland,maryland,MD,s,10
155,Tennessee,tennessee,TN,s,10
